"","stationcode","datetimestamp","monitoringprogram","replicate","F_Record","PO4F","F_PO4F","TP","F_TP","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","DIN","F_DIN","TN","F_TN","TKN","F_TKN","TON","FTON","CHLA_N1","F_CHLAN1","2CHLA","F_2CHLA","UncCHLa_N1","F_UncCHLa_N1","2UncCHLa","F_2UncCHLa","PHEA1","F_PHEA1","2PHEA","F_2PHEA","TSS","F_TSS","FECCOL_CFU","F_FECCOL_CFU","ECOLI_MPN","F_ECOLI_MPN","WTEM_N","FWTEM_N","SPC","F_SPC","DO_N","F_DO_N","PH","F_PH","SECCHI","F_SECCHI","DOC","F_DOC","TKN_F","F_TKN_F","DON","F_DON","NP"
"32","gtmfmnut",2018-08-07 10:08:00,"1","2",NA,"0.028",NA,0.067,NA,0.057,NA,"0.002","I","0.017",NA,0.02,NA,0.077,NA,0.73,NA,0.71,NA,0.653,NA,"5.6",NA,NA,NA,"7.6",NA,NA,NA,"3.0",NA,NA,NA,"13",NA,"8","BQ",NA,NA,"29.6",NA,"45876",NA,"4.07",NA,"7.69",NA,NA,NA,"7.6",NA,0.42,NA,0.363,NA,10.8955223880597
"33","gtmfmnut",2018-09-05 09:46:00,"1","2",NA,"0.022",NA,0.053,NA,0.031,NA,"0.002","U","0.007","I",0.009,"I",0.04,NA,0.369,NA,0.36,"I",0.329,NA,"5.3",NA,NA,NA,"6.3",NA,NA,NA,"1.3","I",NA,NA,"12",NA,"3","BQ",NA,NA,"28.1",NA,"53340",NA,"4.96",NA,"7.88",NA,NA,NA,"2.6",NA,0.25,"I",0.219,NA,6.9622641509434
"34","gtmfmnut",2018-10-23 09:13:00,"1","2",NA,"0.012",NA,0.035,NA,0.017,NA,"0.007",NA,"0.004","U",0.008,"I",0.025,NA,0.318,NA,0.31,"I",0.293,NA,"4.1",NA,NA,NA,"4.8",NA,NA,NA,"0.89","I",NA,NA,"10","I","5","BQ",NA,NA,"25.2",NA,"53990",NA,"5.97",NA,"8.02",NA,NA,NA,"1.8","I",0.31,"I",0.293,NA,9.08571428571429
"35","gtmfmnut",2018-11-06 11:38:00,"1","2",NA,"0.017",NA,0.047,NA,0.023,NA,"0.002","I","0.007","I",0.01,"I",0.033,NA,0.44,NA,0.43,NA,0.407,NA,"4.1",NA,NA,NA,"4.7",NA,NA,NA,"0.81","I",NA,NA,"11",NA,"13","BQ",NA,NA,"24.8",NA,"53895",NA,"5.43",NA,"7.97",NA,NA,NA,"2.4",NA,0.28,"I",0.257,NA,9.36170212765957
"36","gtmfmnut",2018-12-04 10:57:00,"1","2",NA,"0.020",NA,0.044,NA,0.046,NA,"0.003","I","0.15",NA,0.15,NA,0.196,NA,0.51,NA,0.36,"I",0.314,NA,"2.1",NA,NA,NA,"2.6",NA,NA,NA,"0.69","I",NA,NA,"10","IA","8","BQ",NA,NA,"20.5",NA,"50659",NA,"6.16",NA,"7.91",NA,NA,NA,"3.5",NA,0.3,"I",0.254,NA,11.5909090909091
"37","gtmpcnut",2018-01-16 10:54:00,"1","1",NA,"0.032",NA,0.058,NA,0.032,NA,"0.006",NA,"0.007","I",0.013,NA,0.045,NA,0.793,NA,0.78,NA,0.748,NA,"1.7",NA,"2.2","I","2.3",NA,"2.7",NA,"0.67","I","0.85","I","7","I","160","BQ","238.0","QJ","11.0",NA,"16162",NA,"9.69",NA,"6.76",NA,NA,NA,"22",NA,0.67,NA,0.638,NA,13.6724137931034
"38","gtmpcnut",2018-02-13 10:59:00,"1","1",NA,"0.047",NA,0.081,NA,0.051,NA,"0.003","U","0.037",NA,0.037,NA,0.088,NA,0.827,NA,0.79,NA,0.739,NA,"2.4",NA,"2.6",NA,"3.2",NA,"3.5",NA,"1.2","I","1.2","I","8","I","300","Q","395.0","Q","21.5",NA,"2629",NA,"6.24",NA,"6.58",NA,NA,NA,"30",NA,0.82,NA,0.769,NA,10.2098765432099
"39","gtmpcnut",2018-03-27 11:01:00,"1","1",NA,"0.022",NA,0.054,NA,0.006,NA,"0.002","U","0.004","U",0.004,"U",0.01,NA,0.314,NA,0.31,"I",0.304,NA,"5.1",NA,"5.1",NA,"5.9",NA,"5.8",NA,"1.0","I","0.90","I","9","I","94","Q","180.5","AQ","19.0",NA,"41382",NA,"6.72",NA,"7.29",NA,NA,NA,"6.0",NA,0.41,NA,0.404,NA,5.81481481481481
"40","gtmpcnut",2018-04-25 09:33:00,"1","1",NA,"0.033",NA,0.085,NA,0.022,NA,"0.006",NA,"0.008","I",0.013,NA,0.035,NA,0.893,NA,0.88,NA,0.858,NA,"11",NA,"5.7",NA,"14",NA,"7.0",NA,"3.1",NA,"1.8",NA,"11",NA,"120","BQ","228.0","Q","22.2",NA,"27081",NA,"5.80",NA,"6.55",NA,NA,NA,"23",NA,0.72,NA,0.698,NA,10.5058823529412
"41","gtmpcnut",2018-05-29 11:59:00,"1","1",NA,"0.052",NA,0.1,NA,0.036,NA,"0.003","U","0.016",NA,0.017,NA,0.053,NA,1.317,NA,1.3,NA,1.264,NA,"4.3",NA,"4.3",NA,"5.9",NA,"5.9",NA,"2.4","I","2.3","I","14",NA,"130","BQ","178.6","AQ","26.0",NA,"413.0",NA,"5.08",NA,"7.63",NA,NA,NA,"40",NA,1.1,NA,1.064,NA,13.17
"42","gtmpcnut",2018-06-12 10:30:00,"1","1",NA,"0.049",NA,0.084,NA,0.03,NA,"0.003","U","0.022",NA,0.023,NA,0.053,NA,1.323,NA,1.3,NA,1.27,NA,"6.9",NA,"7.2",NA,"8.6",NA,"8.9",NA,"2.4",NA,"2.5",NA,"10",NA,"200","Q","204.6","Q","25.6",NA,"1020",NA,"4.44",NA,"6.58",NA,NA,NA,"40",NA,1.2,NA,1.17,NA,15.75
"43","gtmpcnut",2018-07-24 10:29:00,"1","1",NA,"0.042",NA,0.091,NA,0.055,NA,"0.008",NA,"0.032",NA,0.04,NA,0.095,NA,0.94,NA,0.9,NA,0.845,NA,"13",NA,"11",NA,"15",NA,"14",NA,"3.5",NA,"3.2",NA,"7","I","46","Q","160.0","Q","27.9",NA,"8632",NA,"5.04",NA,"6.95",NA,NA,NA,"23",NA,0.78,NA,0.725,NA,10.3296703296703
"44","gtmpcnut",2018-08-07 09:54:00,"1","1",NA,"0.038",NA,0.056,NA,0.018,NA,"0.003","U","0.011",NA,0.011,NA,0.029,NA,1.311,NA,1.3,NA,1.282,NA,"0.97","I","1.0","I","1.3",NA,"1.4",NA,"0.51","I","0.59","I","4","I","230","Q","258.6","AJQ","27.5",NA,"149.4",NA,"5.13",NA,"6.10",NA,NA,NA,"43",NA,0.96,NA,0.942,NA,23.4107142857143
"45","gtmpcnut",2018-09-05 09:37:00,"1","1",NA,"0.056",NA,0.081,NA,0.031,NA,"0.003","I","0.050",NA,0.053,NA,0.084,NA,1.003,NA,0.95,NA,0.919,NA,"8.1",NA,"8.5",NA,"10",NA,"11",NA,"3.2",NA,"3.1",NA,"10",NA,"150","BQ","209.0","Q","29.0",NA,"3568",NA,"4.81",NA,"7.01",NA,NA,NA,"24",NA,0.73,NA,0.699,NA,12.3827160493827
"46","gtmpcnut",2018-10-23 11:54:00,"1","1",NA,"0.031",NA,0.075,NA,0.023,NA,"0.003","I","0.017",NA,0.02,NA,0.043,NA,0.66,NA,0.64,NA,0.617,NA,"9.5",NA,NA,NA,"11",NA,NA,NA,"2.7",NA,NA,NA,"18",NA,"60","Q","104","AQ","22.7",NA,"38339",NA,"6.31",NA,"7.41",NA,NA,NA,"13",NA,0.56,NA,0.537,NA,8.8
